"_time","_measurement","_value","entity_id"
1768755777935,%,96,evan_s_pws_humidity
1768764357457,%,32,evan_s_pws_humidity_1
1768761837394,%,34,evan_s_pws_humidity_2
1768765137246,%,37,evan_s_pws_humidity_3
1768764957269,%,40,evan_s_pws_humidity_5
1768706451440,%,28,evan_s_pws_humidity_in
1768760457322,%,29,evan_s_pws_humidity_indoor
1768706451441,Index,0,evan_s_pws_uv
1768755777936,Index,0,evan_s_pws_uv_index
1768765257341,W/m²,16.02,evan_s_pws_irradiance
1768706451441,W/m²,0,evan_s_pws_solar_rad
1768755777934,binary_sensor.evan_s_pws_battery,0,evan_s_pws_battery
1768755777934,binary_sensor.evan_s_pws_battery_1,1,evan_s_pws_battery_1
1768755777934,binary_sensor.evan_s_pws_battery_2,1,evan_s_pws_battery_2
1768755777934,binary_sensor.evan_s_pws_battery_3,1,evan_s_pws_battery_3
1768755777934,binary_sensor.evan_s_pws_battery_5,0,evan_s_pws_battery_5
1768755777934,in,0.012,evan_s_pws_daily_rain
1768755777934,in,0.142,evan_s_pws_event_rain
1768755777936,in,236.22,evan_s_pws_lifetime_rain
1768755777935,in,1.213,evan_s_pws_monthly_rain
1768755777936,in,0.012,evan_s_pws_weekly_rain
1768706451440,in/h,0,evan_s_pws_hourly_rain_rate
1768755777934,in/h,0,evan_s_pws_precipitation_intensity
1768706636848,inHg,30.148,evan_s_pws_abs_pressure
1768765317265,inHg,29.924,evan_s_pws_absolute_pressure
1768706636849,inHg,30.092,evan_s_pws_rel_pressure
1768765317265,inHg,29.867,evan_s_pws_relative_pressure
1768765257341,lx,2028,evan_s_pws_solar_rad_lx
1768760217529,mph,5.8,evan_s_pws_max_gust
1768765317266,mph,1.1,evan_s_pws_wind_gust
1768765317266,mph,0.2,evan_s_pws_wind_speed
1768706516941,°,18,evan_s_pws_wind_dir
1768765317266,°,15,evan_s_pws_wind_direction
1768764777347,°F,32.78,evan_s_pws_dew_point
1768764777347,°F,33.8,evan_s_pws_feels_like
1768706456861,°F,72.5,evan_s_pws_inside_temp
1768765197371,°F,73.6,evan_s_pws_inside_temperature
1768706636849,°F,30.7,evan_s_pws_temp
1768706576892,°F,69.3,evan_s_pws_temp_1
1768706636849,°F,74.5,evan_s_pws_temp_2
1768706451441,°F,69.1,evan_s_pws_temp_3
1768706636849,°F,68.5,evan_s_pws_temp_5
1768764777348,°F,33.8,evan_s_pws_temperature
1768765317265,°F,69.6,evan_s_pws_temperature_1
1768765257341,°F,71.4,evan_s_pws_temperature_2
1768765257341,°F,69.6,evan_s_pws_temperature_3
1768764777348,°F,71.2,evan_s_pws_temperature_5